dc:identifier;dc:title;dc:date;dc:creator;dc:contributor;dc:description;dc:subject1;dc:subject2;dc:subject3;dc:coverage;dc:rights;dc:publisher;dc:source;dc:relation;dc:type;dc:format;dc:language
KDP_1883;Unidentified girl with papers;unknown;unknown;;;;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1889;Estes Kefauver and unidentified man;1953-08-15;Robert J. Dodge (Put-in-Bay Ohio);;;Kefauver, Estes, 1903-1963;;;Ohio;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1903;Estes Kefauver and unidentified man and woman;1953-08-15;Robert J. Dodge (Put-in-Bay Ohio);;;Kefauver, Estes, 1903-1963;;;Ohio;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1907;Estes Kefauver with unidentified man in foul weather gear with fish;unknown;unknown;;Big Mouth Black Bass Caught On Houseboat Noah's Ark Fishing Parties A Specialty Capt. N.J. Tilghman. Palatra, FL.;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1909;Estes and Nancy Kefauver with three unidentified men;1953-08-15;Robert J. Dodge(Put-in-Bay Ohio);;;Kefauver, Estes, 1903-1963;;;Ohio;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1913;Unidentified group of people at camp;unknown;unknown;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1927;Estes Kefauver and unidentified man;unknown;unknown;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1935;Estes Kefauver and two unidentified men;unknown;unknown;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1949;Estes Kefauver and a group in Vietnam;unknown;unknown;;;Kefauver, Estes, 1903-1963;;;Vietnam;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1961;Estes Kefauver on ship;unknown;unknown;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1965;Estes Kefauver with two unidentified men;unknown;unknown;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1969;Estes Kefauver speaking with four unidentified men;unknown;unknown;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1973;Estes Kefauver with group of children in Vietnam;unknown;unknown;;;Kefauver, Estes, 1903-1963;;;Vietnam;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1983;Estes Kefauver with unidentified man in Vietnam;unknown;unknown;;;Kefauver, Estes, 1903-1963;;;Vietnam;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_2015;Estes and Nancy Kefauver with unidentified woman;1953-09-01;Robert J. Dodge(Put-in-Bay Ohio);;"Put-In-Bay,Ohio 28 Aug 53 Senator Estes Kefauver McMinville,Tennessee Dear Senator;Enclosed are some photos that I took of your wife and yourself when you were visiting Herbert Buffy at his summer home here at Put-In-Bay. I have also included several views of the island. I want to thank you for your kind cooperation in posing for the pictures, and I hope my pictures serve as pleasant reminders of your visit to Put-In-Bay. Yours truly, Robert J. Dodge 9-1-1953";Kefauver, Estes, 1903-1963;;;Ohio;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_2025;Estes Kefauver and unidentified woman;unknown;unknown;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_2029;Estes Kefauver and two unidentified men in Virginia;1960-08;unknown;;;Kefauver, Estes, 1903-1963;;;Virginia;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_2037;Two unidentified men in uniform;unknown;unknown;;;;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_2041;Estes Kefauver and group of unidentified men on ship;unknown;unknown;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_2060;Photo of Mr. and Mrs. Paul F. Kefauver;1941-05;unknown;;May 1941 Mr. and Mrs. Paul F. Kefauver, Emmette,Idaho;Family;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_2062;Paul F. Kefauver says goodbye to leaving children;unknown;unknown;;Just when your family was leaving with the kids saying goodbye to Paul;Family;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_2089;Unidentified man,woman, and dog;unknown;unknown;;;Family;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_2091;Unidentified woman in car;unknown;unknown;;;Family;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_2092;Unidentified girl;unknown;unknown;;;Family;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_2109;Estes Kefauver in football uniform;1922;Kefauver Library;;Estes Kefauver Left-Guard University of Tennessee 1922.”Playing excellent game at guard every game of the season Please send it to me when finished E. Kefauver as Left Guard on the University of Tennessee Football Team, 1922 (Credit:Kefauver Library);University of Tennessee, Knoxville;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_2113;Estes Kefauver playing golf;unknown;unknown;;As high school teacher and coach, Hot Springs, Ark.;Family;;;Arkansas;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_2115;Photograph of football team including Estes Kefauver;unknown;unknown;;;Family;University of Tennessee;;University of Tennessee, Knoxville;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_2120;University of Tennessee Track Team photo including Estes Kefauver;unknown;unknown;;;Family;University of Tennessee;;University of Tennessee, Knoxville;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_2126a;Estes Kefauver the morning he left for Yale;1926;unknown;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_2126b;Estes Kefauver plays golf at Hot Springs;unknown;unknown;;Picture undated – Senator says was taken when he was in Hot Springs;Kefauver, Estes, 1903-1963;;;Arkansas;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_2128;Estes Kefauver on football team;unknown;unknown;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_2136;Estes Kefauver meeting with another man in office setting;unknown;unknown;;RL Gatts, Dry Hollow, K-Port Tennessee, Sorry(?) off to see Gene?;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_2140;Estes Kefauver in vacation clothes poses with band of muscians;unknown;unknown;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_2146;Estes Kefauver at function;unknown;unknown;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_2150;Estes Kefauver and fruit press in orchard;unknown;unknown;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_2152;Estes Kefauver and fish;unknown;Big Mouth Black Bass;;Big Mouth Black Bass Caught On Houseboat Noah's Ark Fishing Parties A Specialty Capt. N.J. Tilghman. Palatra, FL.;Kefauver, Estes, 1903-1963;;;Florida;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_2162;Estes Kefauver catches more fish.;unknown;unknown;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_2168;Estes Kefauver demonstrates fruit press;unknown;unknown;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_2172;Estes Kefauver and supporters stand around a caged raccoon;unknown;unknown;;;Kefauver, Estes, 1903-1963;Coonskin Cap;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_2176;An informal Estes Kefauver plays cards;unknown;unknown;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_2178;Estes Kefauver stands beside rural shrine;unknown;unknown;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_2180;Estes Kefauver plays concession man in stands at event;unknown;unknown;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_2192;Estes Kefauver poses with pony;1958-07-04;Chas F. McCall;;July 4, 1958, Loudon, Made by Chas. F. McCall, PO Box 5, Loudon, TN;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_2194;Estes Kefauver dines with Coast Guard men in Chattanooga;1944-08-04;unknown;;"Taken 8-4-44. Celebrating the 154th anniversary of the founding of the US Coast Guard last night at TVA boat harbor were Chattanooga Coast Guard men and temporary Coast Guard reserves. Estes Kefauver representative of the third Tennessee congressional district and ensign George McKenzie USN were guests. Left to right standing are CBM Herman Ferger Junior, Cox Robert H Griffith, BM 1C, Pat St. Charles and CBM Summerfield Johnston; seated, Lieut. Tom m. reed of the local Coast Guard office;Key father, McKenzie, and ensign Carter Patten, commander of the temporary reserves";Kefauver, Estes, 1903-1963;;;Chattanooga (Tenn.);The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_2198;Estes Kefauver waves from the Smoky Sky Lift in Gaitlinburg, Tennessee;1958-09-01;unknown;;;Kefauver, Estes, 1903-1963;;;Gatlinburg (Tenn.);The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_2206;Estes Kefauver with fishing rod and swordfish at Boynton Inlet Dock;1949-03-16;unknown;;;Kefauver, Estes, 1903-1963;;;Florida;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_2216;Estes Kefauver reads newspaper on couch;unknown;unknown;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_2220;Estes Kefauver gestures happily while reading newspaper;unknown;unknown;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_2226;Estes Kefauver makes a snowball;1960-02-19;unknown;;Estes Kefauver 2 – 19-60 at Andrew Johnson;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_2228;Estes Kefauver throws snowball;1960-02-20;unknown;;Estes Kefauver snowballing at Andrew Johnson;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_2230;Estes Kefauver beside TVA dam;unknown;unknown;;Estes Kefauver gazes with pride at TVA dam.;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_2264;Estes Kefauver and mother;1935;unknown;;Estes & mother 1935 ; Such a chin;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;
KDP_2284;Kefauver family, including Robert Cooke Kefauver;unknown;unknown;;;Kefauver, Estes, 1903-1963;Kefauver, Robert Cooke;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_2308;Estes Kefauver with father who is wearing “I Like Estes” tie;unknown;unknown;;;Kefauver, Estes, 1903-1963;Kefauver, Robert Cooke;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_2314;Estes Kefauver with father and sister, Nancy;1925;unknown;;father, estes, sister Nancy, 1924 or 1925;Kefauver, Estes, 1903-1963;Kefauver, Robert Cooke;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_2326;Estes Kefauver and father behind UT Law building;1953;Mrs. A.E.G. Bates;;July or August 1953, Behind U of Tenn Law Bldg, Taken by Mrs AEG Bates, Chatham Lane, Oak Ridge, TN;Kefauver, Estes, 1903-1963;Kefauver, Robert Cooke;;University of Tennessee, Knoxville;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_2340;Estes Kefauver reads over corrected draft at breakfast table as Nancy looks on;unknown;unknown;;;Kefauver, Estes, 1903-1963;Kefauver, Nancy, 1912-1967;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_2352;Estes Kefauver and sister, circa 1920s;unknown;unknown;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_2354;Estes and Nancy Kefauver at Lookout Mountain, 1939 or 1940;1940;Geo Hull;;;Kefauver, Estes, 1903-1963;Kefauver, Nancy, 1912-1967;;Lookout Mountain (Tenn.);The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_2358;Estes and Nancy Kefauver admire a water feature;unknown;unknown;;;Kefauver, Estes, 1903-1963;Kefauver, Nancy, 1912-1967;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_2368;Estes and Nancy Kefauver;unknown;F. Clyde Wilkinson;;Please Credit F. Clyde Wilkinson  Arlington 7, VA. Home Phone Jackson 2-;Kefauver, Estes, 1903-1963;Kefauver, Nancy, 1912-1967;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_2378;Estes Kefauver with a camera photographing Nancy Kefauver;unknown;unknown;;;Kefauver, Estes, 1903-1963;Kefauver, Nancy, 1912-1967;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_2398;Estes Kefauver speaking over microphone with Nancy Keauver and three unidentified men;unknown;Achber Photo Service(Laconia, N.H.);;;Kefauver, Estes, 1903-1963;Kefauver, Nancy, 1912-1967;;New Hampshire;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_2400;Estes Kefauver speaking over microphone with Nancy Kefauver while group looks on;unknown;Achber Photo Service(Laconia, N.H.);;;Kefauver, Estes, 1903-1963;;;New Hampshire;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_2402;Estes Kefauver with two men in background;unknown;Achber Photo Service(Laconia, N.H.);;;Kefauver, Estes, 1903-1963;;;New Hampshire;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_2404;Estes Kefauver with unidentified child;unknown;Achber Photo Service(Laconia, N.H.);;;Kefauver, Estes, 1903-1963;;;New Hampshire;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_2406;Nancy Kefauver in bobsled with Estes Kefauver looking on;unknown;Achber Photo Service(Laconia, N.H.);;;Kefauver, Estes, 1903-1963;Kefauver, Nancy, 1912-1967;;New Hampshire;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_2426;Estes and Nancy Kefauver with dog;unknown;unknown;;Finished by Shannon's Nov 23,1937 7261 Market St. Chattanooga;Kefauver, Estes, 1903-1963;Kefauver, Nancy, 1912-1967;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_2428;Estes and Nancy Kefauver receive skis from unidentified man;unknown;unknown;;Skimobile North Conway, N.H. 1952 Mrs.Eleanor Beek 12 Brakett Lane Portsmouth N.H.;Kefauver, Estes, 1903-1963;Kefauver, Nancy, 1912-1967;;New Hampshire;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_2441;Nancy Kefauver on Smoky Sky Lift;unknown;unknown;;;Kefauver, Nancy, 1912-1967;;;Gaitlinburg (Tenn.);The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_2461;Nancy Kefauver on horse;unknown;Eugene Studio, McMinnville,Tennessee;;;Kefauver, Nancy, 1912-1967;;;McMinnville (Tenn.);The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_2477;Nancy Kefauver with two unidentified women with Kefauver book in front of Capitol;unknown;Eugene Studio, McMinnville,Tennessee;;;Kefauver, Nancy, 1912-1967;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_2479;Nancy Kefauver with group in front of Capitol;unknown;unknown;;;Kefauver, Nancy, 1912-1967;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_2481;Nancy Kefauver with group in front of Capitol;unknown;unknown;;;Kefauver, Nancy, 1912-1967;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_2523;Nancy and Estes Kefauver outside with children;unknown;unknown;;;Kefauver, Estes, 1903-1963;Kefauver, Nancy, 1912-1967;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
